Name,Type,Agility,Endurance,Service,Volley,Forehand,Backhand,Cost,Level
SAMURAI_3,RACKET,3,0,0,0,6,0,0,3
SAMURAI_4,RACKET,3,0,0,0,9,0,15000,4
SAMURAI_5,RACKET,3,0,0,0,14,0,21700,5
SAMURAI_6,RACKET,3,0,0,0,18,0,27500,6
SAMURAI_7,RACKET,3,0,0,0,23,0,35900,7
SAMURAI_8,RACKET,4,0,0,0,25,0,45900,8
SAMURAI_9,RACKET,4,0,0,0,28,0,58400,9
SAMURAI_10,RACKET,4,0,0,0,31,0,75000,10
SAMURAI_11,RACKET,5,0,0,0,33,0,87500,11
SAMURAI_12,RACKET,5,0,0,0,36,0,104,2000,12
SAMURAI_13,RACKET,5,0,0,0,38,0,183400,13
HAMMER_4,RACKET,0,0,0,0,14,7,0,4
HAMMER_5,RACKET,0,0,0,0,18,8,45900,5
HAMMER_6,RACKET,0,0,0,0,22,8,58400,6
HAMMER_7,RACKET,0,0,0,0,27,8,75000,7
HAMMER_8,RACKET,0,0,0,0,30,8,87500,8
HAMMER_9,RACKET,0,0,0,0,32,9,104200,9
HAMMER_10,RACKET,0,0,0,0,35,10,116700,10
HAMMER_11,RACKET,0,0,0,0,38,10,150000,11
HAMMER_12,RACKET,0,0,0,0,41,11,183400,12
HAMMER_13,RACKET,0,0,0,0,44,12,216700,13
BULLS_EYE_4,RACKET,0,0,0,0,17,0,0,4
BULLS_EYE_5,RACKET,0,0,0,0,21,0,104200,5
BULLS_EYE_6,RACKET,0,0,0,0,26,0,116700,6
BULLS_EYE_7,RACKET,0,0,0,0,30,0,150000,7
BULLS_EYE_8,RACKET,0,0,0,0,33,0,183400,8
BULLS_EYE_9,RACKET,0,0,0,0,37,0,216700,9
BULLS_EYE_10,RACKET,0,0,0,0,40,0,250000,10
BULLS_EYE_11,RACKET,0,0,0,0,43,0,291700,11
BULLS_EYE_12,RACKET,0,0,0,0,46,0,333400,12
BULLS_EYE_13,RACKET,0,0,0,0,49,0,416.7,13
ZEUS_1,RACKET,5,0,0,0,0,0,0,1
ZEUS_2,RACKET,5,0,0,0,1,0,150000,2
ZEUS_3,RACKET,6,0,0,0,2,0,180000,3
ZEUS_4,RACKET,7,0,0,0,6,0,210000,4
ZEUS_5,RACKET,7,0,0,0,10,0,230000,5
ZEUS_6,RACKET,7,0,0,0,14,0,250000,6
ZEUS_7,RACKET,7,0,0,0,18,0,300000,7
ZEUS_8,RACKET,8,0,0,0,21,0,380000,8
ZEUS_9,RACKET,9,0,0,0,23,0,450000,9
ZEUS_10,RACKET,9,0,0,0,25,0,530000,10
ZEUS_11,RACKET,10,0,0,0,27,0,560000,11
ZEUS_12,RACKET,10,0,0,0,29,0,600000,12
ZEUS_13,RACKET,11,0,0,0,32,0,700000,13
BASIC_GRIP_1,GRIP,0,0,0,5,0,3,0,1
WARRIOR_1,GRIP,0,0,0,3,0,3,0,1
WARRIOR_2,GRIP,0,0,0,4,0,4,200,2
WARRIOR_3,GRIP,0,0,0,4,0,6,600,3
WARRIOR_4,GRIP,0,0,0,5,0,10,1400,4
WARRIOR_5,GRIP,0,0,0,5,0,14,2500,5
WARRIOR_6,GRIP,0,0,0,5,0,19,4600,6
WARRIOR_7,GRIP,0,0,0,5,0,23,7200,7
WARRIOR_8,GRIP,0,0,0,6,0,26,10900,8
WARRIOR_9,GRIP,0,0,0,6,0,29,15000,9
WARRIOR_10,GRIP,0,0,0,6,0,31,21700,10
WARRIOR_11,GRIP,0,0,0,7,0,34,27500,11
TALON_4,GRIP,0,0,0,0,6,11,0,4
TALON_5,GRIP,0,0,0,0,7,17,4600,5
TALON_6,GRIP,0,0,0,0,7,21,7200,6
TALON_7,GRIP,0,0,0,0,7,26,10900,7
TALON_8,GRIP,0,0,0,0,8,29,15000,8
TALON_9,GRIP,0,0,0,0,8,32,21700,9
TALON_10,GRIP,0,0,0,0,8,35,27500,10
TALON_11,GRIP,0,0,0,0,9,37,45900,11
MACHETE_3,GRIP,0,0,0,0,0,12,0,3
MACHETE_4,GRIP,0,0,0,0,0,16,7200,4
MACHETE_5,GRIP,0,0,0,0,0,20,10900,5
MACHETE_6,GRIP,0,0,0,0,0,25,15000,6
MACHETE_7,GRIP,0,0,0,0,0,29,21700,7
MACHETE_8,GRIP,0,0,0,0,0,32,27500,8
MACHETE_9,GRIP,0,0,0,0,0,35,35900,9
MACHETE_10,GRIP,0,0,0,0,0,38,45900,10
MACHETE_11,GRIP,0,0,0,0,0,42,75000,11
COBRA_4,GRIP,0,0,0,0,10,6,0,4
COBRA_5,GRIP,0,0,0,0,10,10,21700,5
COBRA_6,GRIP,0,0,0,0,10,14,27500,6
COBRA_7,GRIP,0,0,0,0,10,18,35900,7
COBRA_8,GRIP,0,0,0,0,11,21,45900,8
COBRA_9,GRIP,0,0,0,0,12,23,58400,9
COBRA_10,GRIP,0,0,0,0,13,24,75000,10
COBRA_11,GRIP,0,0,0,0,14,27,104200,11
KATANA_3,GRIP,0,0,0,5,0,6,0,3
KATANA_4,GRIP,0,0,0,5,0,10,15000,4
KATANA_5,GRIP,0,0,0,5,0,14,21700,5
KATANA_6,GRIP,0,0,0,6,0,18,27500,6
KATANA_7,GRIP,0,0,0,6,0,23,35900,7
KATANA_8,GRIP,0,0,0,6,0,25,45900,8
KATANA_9,GRIP,0,0,0,7,0,28,58400,9
KATANA_10,GRIP,0,0,0,7,0,31,75000,10
KATANA_11,GRIP,0,0,0,8,0,33,87500,11
KATANA_12,GRIP,0,0,0,8,0,36,104200,12
KATANA_13,GRIP,0,0,0,9,0,38,183400,13
FORGE_4,GRIP,0,0,0,0,7,14,0,4
FORGE_5,GRIP,0,0,0,0,8,18,45900,5
FORGE_6,GRIP,0,0,0,0,8,22,58400,6
FORGE_7,GRIP,0,0,0,0,8,27,75000,7
FORGE_8,GRIP,0,0,0,0,8,30,87500,8
FORGE_9,GRIP,0,0,0,0,9,32,104200,9
FORGE_10,GRIP,0,0,0,0,10,35,116700,10
FORGE_11,GRIP,0,0,0,0,10,38,150000,11
FORGE_12,GRIP,0,0,0,0,11,41,183400,12
FORGE_13,GRIP,0,0,0,0,12,44,291700,13
TACTICAL_GRIP_1,GRIP,0,0,0,8,0,0,0,1
TACTICAL_GRIP_2,GRIP,0,0,0,9,0,1,58400,2
TACTICAL_GRIP_3,GRIP,0,0,0,10,0,2,75000,3
TACTICAL_GRIP_4,GRIP,0,0,0,11,0,6,87500,4
TACTICAL_GRIP_5,GRIP,0,0,0,11,0,10,104200,5
TACTICAL_GRIP_6,GRIP,0,0,0,12,0,14,116700,6
TACTICAL_GRIP_7,GRIP,0,0,0,12,0,18,150000,7
TACTICAL_GRIP_8,GRIP,0,0,0,13,0,21,183400,8
TACTICAL_GRIP_9,GRIP,0,0,0,14,0,23,216700,9
TACTICAL_GRIP_10,GRIP,0,0,0,15,0,25,250000,10
TACTICAL_GRIP_11,GRIP,0,0,0,16,0,27,291700,11
TACTICAL_GRIP_12,GRIP,0,0,0,17,0,29,333400,12
TACTICAL_GRIP_13,GRIP,0,0,0,18,0,32,416700,13
TITAN_4,GRIP,0,0,0,0,0,17,0,4
TITAN_5,GRIP,0,0,0,0,0,21,230000,5
TITAN_6,GRIP,0,0,0,0,0,26,250000,6
TITAN_7,GRIP,0,0,0,0,0,30,300000,7
TITAN_8,GRIP,0,0,0,0,0,33,380000,8
TITAN_9,GRIP,0,0,0,0,0,37,450000,9
TITAN_10,GRIP,0,0,0,0,0,40,530000,10
TITAN_11,GRIP,0,0,0,0,0,43,560000,11
TITAN_12,GRIP,0,0,0,0,0,46,600000,12
TITAN_13,GRIP,0,0,0,0,0,49,700000,13
BASIC_SHOES_1,SHOES,3,0,0,0,0,0,0,1
FEATHER_4,SHOES,15,0,0,0,0,0,0,4
FEATHER_5,SHOES,19,0,0,0,0,0,2500,5
FEATHER_6,SHOES,23,0,0,0,0,0,4600,6
FEATHER_7,SHOES,28,0,0,0,0,0,7200,7
FEATHER_8,SHOES,32,0,0,0,0,0,10900,8
FEATHER_9,SHOES,35,0,0,0,0,0,15000,9
FEATHER_10,SHOES,40,0,0,0,0,0,21700,10
FEATHER_11,SHOES,43,0,0,0,0,0,27500,11
RAPTOR_1,SHOES,1,3,0,0,0,0,0,1
RAPTOR_2,SHOES,4,4,0,0,0,0,600,2
RAPTOR_3,SHOES,9,5,0,0,0,0,1400,3
RAPTOR_4,SHOES,12,5,0,0,0,0,2500,4
RAPTOR_5,SHOES,15,5,0,0,0,0,4600,5
RAPTOR_6,SHOES,19,6,0,0,0,0,7200,6
RAPTOR_7,SHOES,24,6,0,0,0,0,10900,7
RAPTOR_8,SHOES,27,6,0,0,0,0,15000,8
RAPTOR_9,SHOES,30,7,0,0,0,0,21700,9
RAPTOR_10,SHOES,34,7,0,0,0,0,27500,10
RAPTOR_11,SHOES,37,8,0,0,0,0,45900,11
HUNTER_1,SHOES,5,0,3,0,0,0,0,1
HUNTER_2,SHOES,6,0,4,0,0,0,2500,2
HUNTER_3,SHOES,7,0,5,0,0,0,4600,3
HUNTER_4,SHOES,11,0,5,0,0,0,7200,4
HUNTER_5,SHOES,15,0,5,0,0,0,10900,5
HUNTER_6,SHOES,19,0,5,0,0,0,15000,6
HUNTER_7,SHOES,24,0,5,0,0,0,21700,7
HUNTER_8,SHOES,27,0,6,0,0,0,27500,8
HUNTER_9,SHOES,30,0,6,0,0,0,35900,9
HUNTER_10,SHOES,34,0,7,0,0,0,45900,10
HUNTER_11,SHOES,37,0,7,0,0,0,75000,11
PIRANHA_4,SHOES,8,12,0,0,0,0,0,4
PIRANHA_5,SHOES,12,12,0,0,0,0,21700,5
PIRANHA_6,SHOES,16,13,0,0,0,0,27500,6
PIRANHA_7,SHOES,20,13,0,0,0,0,35900,7
PIRANHA_8,SHOES,23,14,0,0,0,0,45900,8
PIRANHA_9,SHOES,26,15,0,0,0,0,58400,9
PIRANHA_10,SHOES,29,16,0,0,0,0,75000,10
PIRANHA_11,SHOES,32,17,0,0,0,0,104200,11
SHURIKEN_4,SHOES,8,0,11,0,0,0,0,4
SHURIKEN_5,SHOES,12,0,12,0,0,0,21700,5
SHURIKEN_6,SHOES,16,0,12,0,0,0,27500,6
SHURIKEN_7,SHOES,20,0,12,0,0,0,35900,7
SHURIKEN_8,SHOES,23,0,13,0,0,0,45900,8
SHURIKEN_9,SHOES,26,0,14,0,0,0,58400,9
SHURIKEN_10,SHOES,29,0,15,0,0,0,75000,10
SHURIKEN_11,SHOES,32,0,16,0,0,0,87500,11
SHURIKEN_12,SHOES,35,0,17,0,0,0,104200,12
SHURIKEN_13,SHOES,38,0,18,0,0,0,183400,13
ANVIL_3,SHOES,7,5,0,0,0,0,0,3
ANVIL_4,SHOES,11,6,0,0,0,0,35900,4
ANVIL_5,SHOES,15,6,0,0,0,0,45900,5
ANVIL_6,SHOES,19,6,0,0,0,0,58400,6
ANVIL_7,SHOES,23,6,0,0,0,0,75000,7
ANVIL_8,SHOES,27,7,0,0,0,0,87500,8
ANVIL_9,SHOES,30,7,0,0,0,0,104200,9
ANVIL_10,SHOES,33,8,0,0,0,0,116700,10
ANVIL_11,SHOES,36,8,0,0,0,0,150000,11
ANVIL_12,SHOES,40,9,0,0,0,0,183400,12
ANVIL_13,SHOES,43,10,0,0,0,0,216700,13
BALLISTIC_3,SHOES,7,0,5,0,0,0,0,3
BALLISTIC_4,SHOES,11,0,5,0,0,0,87500,4
BALLISTIC_5,SHOES,15,0,6,0,0,0,104200,5
BALLISTIC_6,SHOES,19,0,6,0,0,0,116700,6
BALLISTIC_7,SHOES,23,0,6,0,0,0,150000,7
BALLISTIC_8,SHOES,27,0,6,0,0,0,183400,8
BALLISTIC_9,SHOES,30,0,7,0,0,0,216700,9
BALLISTIC_10,SHOES,33,0,7,0,0,0,250000,10
BALLISTIC_11,SHOES,36,0,8,0,0,0,291700,11
BALLISTIC_12,SHOES,40,0,8,0,0,0,333400,12
BALLISTIC_13,SHOES,43,0,9,0,0,0,416.7,13
HADES_TREADS_4,SHOES,15,0,0,0,0,0,0,4
HADES_TREADS_5,SHOES,20,0,0,0,0,0,230000,5
HADES_TREADS_6,SHOES,24,0,0,0,0,0,250000,6
HADES_TREADS_7,SHOES,29,0,0,0,0,0,300000,7
HADES_TREADS_8,SHOES,32,0,0,0,0,0,380000,8
HADES_TREADS_9,SHOES,36,0,0,0,0,0,450000,9
HADES_TREADS_10,SHOES,40,0,0,0,0,0,530000,10
HADES_TREADS_11,SHOES,44,0,0,0,0,0,560000,11
HADES_TREADS_12,SHOES,47,0,0,0,0,0,600000,12
HADES_TREADS_13,SHOES,51,0,0,0,0,0,700000,13
BASIC_WRIST_1,WRISTBAND,0,0,0,0,0,0,0,0
TOMAHAWK_4,WRISTBAND,0,0,0,13,0,0,0,4
TOMAHAWK_5,WRISTBAND,0,0,0,17,0,0,2500,5
TOMAHAWK_6,WRISTBAND,0,0,0,21,0,0,4600,6
TOMAHAWK_7,WRISTBAND,0,0,0,26,0,0,7200,7
TOMAHAWK_8,WRISTBAND,0,0,0,29,0,0,10900,8
TOMAHAWK_9,WRISTBAND,0,0,0,32,0,0,15000,9
TOMAHAWK_10,WRISTBAND,0,0,0,34,0,0,21700,10
TOMAHAWK_11,WRISTBAND,0,0,0,38,0,0,27500,11
MISSILE_1,WRISTBAND,2,0,0,0,0,0,0,1
MISSILE_2,WRISTBAND,3,0,0,1,0,0,600,2
MISSILE_3,WRISTBAND,3,0,0,3,0,0,1400,3
MISSILE_4,WRISTBAND,3,0,0,6,0,0,2500,4
MISSILE_5,WRISTBAND,3,0,0,11,0,0,4600,5
MISSILE_6,WRISTBAND,3,0,0,15,0,0,7200,6
MISSILE_7,WRISTBAND,3,0,0,19,0,0,10900,7
MISSILE_8,WRISTBAND,3,0,0,22,0,0,15000,8
MISSILE_9,WRISTBAND,4,0,0,24,0,0,21700,9
MISSILE_10,WRISTBAND,4,0,0,27,0,0,27500,10
MISSILE_11,WRISTBAND,4,0,0,29,0,0,45900,11
PIRATE_4,WRISTBAND,0,0,11,2,0,0,0,4
PIRATE_5,WRISTBAND,0,0,12,5,0,0,10900,5
PIRATE_6,WRISTBAND,0,0,12,9,0,0,15000,6
PIRATE_7,WRISTBAND,0,0,12,14,0,0,21700,7
PIRATE_8,WRISTBAND,0,0,13,16,0,0,27500,8
PIRATE_9,WRISTBAND,0,0,14,18,0,0,35900,9
PIRATE_10,WRISTBAND,0,0,15,19,0,0,45900,10
PIRATE_11,WRISTBAND,0,0,16,22,0,0,75000,11
ARA_1,WRISTBAND,0,0,3,0,0,0,0,1
ARA_2,WRISTBAND,0,0,4,2,0,0,7200,2
ARA_3,WRISTBAND,0,0,4,3,0,0,10900,3
ARA_4,WRISTBAND,0,0,5,7,0,0,15000,4
ARA_5,WRISTBAND,0,0,5,11,0,0,21700,5
ARA_6,WRISTBAND,0,0,5,15,0,0,27500,6
ARA_7,WRISTBAND,0,0,5,19,0,0,35900,7
ARA_8,WRISTBAND,0,0,5,21,0,0,45900,8
ARA_9,WRISTBAND,0,0,6,24,0,0,58400,9
ARA_10,WRISTBAND,0,0,7,27,0,0,75000,10
ARA_11,WRISTBAND,0,0,7,29,0,0,104200,11
KOI_4,WRISTBAND,7,0,0,2,0,0,0,4
KOI_5,WRISTBAND,7,0,0,5,0,0,21700,5
KOI_6,WRISTBAND,7,0,0,9,0,0,27500,6
KOI_7,WRISTBAND,7,0,0,14,0,0,35900,7
KOI_8,WRISTBAND,8,0,0,16,0,0,45900,8
KOI_9,WRISTBAND,9,0,0,18,0,0,58400,9
KOI_10,WRISTBAND,9,0,0,20,0,0,75000,10
KOI_11,WRISTBAND,10,0,0,22,0,0,87500,11
KOI_12,WRISTBAND,10,0,0,24,0,0,104200,12
KOI_13,WRISTBAND,11,0,0,26,0,0,183400,13
KODIAK_3,WRISTBAND,3,0,0,3,0,0,0,3
KODIAK_4,WRISTBAND,3,0,0,6,0,0,35900,4
KODIAK_5,WRISTBAND,3,0,0,10,0,0,45900,5
KODIAK_6,WRISTBAND,3,0,0,14,0,0,58400,6
KODIAK_7,WRISTBAND,3,0,0,19,0,0,75000,7
KODIAK_8,WRISTBAND,4,0,0,21,0,0,87500,8
KODIAK_9,WRISTBAND,4,0,0,24,0,0,104200,9
KODIAK_10,WRISTBAND,4,0,0,26,0,0,116700,10
KODIAK_11,WRISTBAND,5,0,0,28,0,0,150000,11
KODIAK_12,WRISTBAND,5,0,0,31,0,0,183400,12
KODIAK_13,WRISTBAND,5,0,0,33,0,0,291700,13
GLADIATOR_4,WRISTBAND,0,0,0,14,0,0,0,4
GLADIATOR_5,WRISTBAND,0,0,0,18,0,0,104200,5
GLADIATOR_6,WRISTBAND,0,0,0,23,0,0,116700,6
GLADIATOR_7,WRISTBAND,0,0,0,27,0,0,150000,7
GLADIATOR_8,WRISTBAND,0,0,0,30,0,0,183400,8
GLADIATOR_9,WRISTBAND,0,0,0,33,0,0,216700,9
GLADIATOR_10,WRISTBAND,0,0,0,36,0,0,250000,10
GLADIATOR_11,WRISTBAND,0,0,0,39,0,0,291700,11
GLADIATOR_12,WRISTBAND,0,0,0,43,0,0,333400,12
GLADIATOR_13,WRISTBAND,0,0,0,46,0,0,416.7,13
SHIELD_3,WRISTBAND,0,0,5,3,0,0,0,3
SHIELD_4,WRISTBAND,0,0,5,6,0,0,210000,4
SHIELD_5,WRISTBAND,0,0,6,10,0,0,230000,5
SHIELD_6,WRISTBAND,0,0,6,14,0,0,250000,6
SHIELD_7,WRISTBAND,0,0,6,19,0,0,300000,7
SHIELD_8,WRISTBAND,0,0,6,21,0,0,380000,8
SHIELD_9,WRISTBAND,0,0,7,24,0,0,450000,9
SHIELD_10,WRISTBAND,0,0,7,26,0,0,530000,10
SHIELD_11,WRISTBAND,0,0,8,28,0,0,560000,11
SHIELD_12,WRISTBAND,0,0,8,31,0,0,600000,12
SHIELD_13,WRISTBAND,0,0,9,33,0,0,700000,13
BASIC_NUTRITION_1,NUTRITION,0,0,0,0,0,0,0,1
PROTEIN_4,NUTRITION,0,13,0,0,0,0,0,4
PROTEIN_5,NUTRITION,0,17,0,0,0,0,2500,5
PROTEIN_6,NUTRITION,0,21,0,0,0,0,4600,6
PROTEIN_7,NUTRITION,0,25,0,0,0,0,7200,7
PROTEIN_8,NUTRITION,0,28,0,0,0,0,10900,8
PROTEIN_9,NUTRITION,0,31,0,0,0,0,15000,9
PROTEIN_10,NUTRITION,0,34,0,0,0,0,21700,10
PROTEIN_11,NUTRITION,0,36,0,0,0,0,27500,11
HYDRATION_3,NUTRITION,0,3,0,0,3,0,0,3
HYDRATION_4,NUTRITION,0,6,0,0,4,0,2500,4
HYDRATION_5,NUTRITION,0,10,0,0,4,0,4600,5
HYDRATION_6,NUTRITION,0,13,0,0,4,0,7200,6
HYDRATION_7,NUTRITION,0,18,0,0,4,0,10900,7
HYDRATION_8,NUTRITION,0,20,0,0,5,0,15000,8
HYDRATION_9,NUTRITION,0,22,0,0,5,0,21700,9
HYDRATION_10,NUTRITION,0,24,0,0,6,0,27500,10
HYDRATION_11,NUTRITION,0,26,0,0,6,0,45900,11
MACROBIOTICS_4,NUTRITION,0,1,0,11,0,0,0,4
MACROBIOTICS_5,NUTRITION,0,4,0,11,0,0,10900,5
MACROBIOTICS_6,NUTRITION,0,7,0,12,0,0,15000,6
MACROBIOTICS_7,NUTRITION,0,11,0,12,0,0,21700,7
MACROBIOTICS_8,NUTRITION,0,13,0,13,0,0,27500,8
MACROBIOTICS_9,NUTRITION,0,15,0,14,0,0,35900,9
MACROBIOTICS_10,NUTRITION,0,17,0,15,0,0,45900,10
MACROBIOTICS_11,NUTRITION,0,18,0,16,0,0,58400,11
VEGAN_1,NUTRITION,0,0,0,3,0,0,0,1
VEGAN_2,NUTRITION,0,2,0,4,0,0,7200,2
VEGAN_3,NUTRITION,0,3,0,4,0,0,10900,3
VEGAN_4,NUTRITION,0,6,0,5,0,0,15000,4
VEGAN_5,NUTRITION,0,10,0,5,0,0,21,7000,5
VEGAN_6,NUTRITION,0,13,0,5,0,0,27,5000,6
VEGAN_7,NUTRITION,0,18,0,5,0,0,35900,7
VEGAN_8,NUTRITION,0,20,0,6,0,0,45900,8
VEGAN_9,NUTRITION,0,22,0,6,0,0,58400,9
VEGAN_10,NUTRITION,0,24,0,6,0,0,75000,10
VEGAN_11,NUTRITION,0,26,0,7,0,0,104200,11
KETO_SOURCE_4,NUTRITION,0,14,0,0,0,0,0,4
KETO_SOURCE_5,NUTRITION,0,18,0,0,0,0,21700,5
KETO_SOURCE_6,NUTRITION,0,22,0,0,0,0,27500,6
KETO_SOURCE_7,NUTRITION,0,26,0,0,0,0,35900,7
KETO_SOURCE_8,NUTRITION,0,29,0,0,0,0,45900,8
KETO_SOURCE_9,NUTRITION,0,32,0,0,0,0,58400,9
KETO_SOURCE_10,NUTRITION,0,35,0,0,0,0,75000,10
KETO_SOURCE_11,NUTRITION,0,38,0,0,0,0,87500,11
KETO_SOURCE_12,NUTRITION,0,41,0,0,0,0,104200,12
KETO_SOURCE_13,NUTRITION,0,44,0,0,0,0,116700,13
ANTIOXIDANTS_1,NUTRITION,0,0,0,0,3,0,0,1
ANTIOXIDANTS_2,NUTRITION,0,1,0,0,3,0,21700,2
ANTIOXIDANTS_3,NUTRITION,0,3,0,0,4,0,27500,3
ANTIOXIDANTS_4,NUTRITION,0,6,0,0,5,0,35900,4
ANTIOXIDANTS_5,NUTRITION,0,9,0,0,5,0,45900,5
ANTIOXIDANTS_6,NUTRITION,0,13,0,0,5,0,58400,6
ANTIOXIDANTS_7,NUTRITION,0,17,0,0,5,0,75000,7
ANTIOXIDANTS_8,NUTRITION,0,19,0,0,5,0,87500,8
ANTIOXIDANTS_9,NUTRITION,0,21,0,0,6,0,104200,9
ANTIOXIDANTS_10,NUTRITION,0,23,0,0,6,0,116700,10
ANTIOXIDANTS_11,NUTRITION,0,26,0,0,7,0,150000,11
ANTIOXIDANTS_12,NUTRITION,0,28,0,0,7,0,183400,12
ANTIOXIDANTS_13,NUTRITION,0,30,0,0,7,0,291700,13
CARBO_LOAD_4,NUTRITION,0,1,0,0,10,0,0,4
CARBO_LOAD_5,NUTRITION,0,4,0,0,10,0,104200,5
CARBO_LOAD_6,NUTRITION,0,7,0,0,10,0,116700,6
CARBO_LOAD_7,NUTRITION,0,11,0,0,10,0,150000,7
CARBO_LOAD_8,NUTRITION,0,13,0,0,11,0,183400,8
CARBO_LOAD_9,NUTRITION,0,15,0,0,12,0,216700,9
CARBO_LOAD_10,NUTRITION,0,17,0,0,13,0,250000,10
CARBO_LOAD_11,NUTRITION,0,18,0,0,14,0,291700,11
CARBO_LOAD_12,NUTRITION,0,20,0,0,15,0,333400,12
CARBO_LOAD_13,NUTRITION,0,22,0,0,15,0,416700,13
NEUTRAL_ENERGY_3,NUTRITION,0,3,0,5,0,0,0,3
NEUTRAL_ENERGY_4,NUTRITION,0,6,0,5,0,0,210000,4
NEUTRAL_ENERGY_5,NUTRITION,0,9,0,5,0,0,230000,5
NEUTRAL_ENERGY_6,NUTRITION,0,13,0,6,0,0,250000,6
NEUTRAL_ENERGY_7,NUTRITION,0,17,0,6,0,0,300000,7
NEUTRAL_ENERGY_8,NUTRITION,0,19,0,6,0,0,380000,8
NEUTRAL_ENERGY_9,NUTRITION,0,21,0,7,0,0,450000,9
NEUTRAL_ENERGY_10,NUTRITION,0,23,0,7,0,0,530000,10
NEUTRAL_ENERGY_11,NUTRITION,0,26,0,8,0,0,560000,11
NEUTRAL_ENERGY_12,NUTRITION,0,28,0,8,0,0,600000,12
NEUTRAL_ENERGY_13,NUTRITION,0,30,0,9,0,0,700000,13
BASIC_TRAINING_1,WORKOUT,0,0,1,0,0,0,0,1
ENDURANCE_3,WORKOUT,0,5,4,0,0,0,0,3
ENDURANCE_4,WORKOUT,0,5,7,0,0,0,1400,4
ENDURANCE_5,WORKOUT,0,5,12,0,0,0,2500,5
ENDURANCE_6,WORKOUT,0,6,16,0,0,0,4600,6
ENDURANCE_7,WORKOUT,0,6,21,0,0,0,7200,7
ENDURANCE_8,WORKOUT,0,6,24,0,0,0,10900,8
ENDURANCE_9,WORKOUT,0,7,26,0,0,0,15000,9
ENDURANCE_10,WORKOUT,0,7,29,0,0,0,21700,10
ENDURANCE_11,WORKOUT,0,8,31,0,0,0,27500,11
SPRINT_4,WORKOUT,0,0,14,0,0,0,0,4
SPRINT_5,WORKOUT,0,0,19,0,0,0,4600,5
SPRINT_6,WORKOUT,0,0,23,0,0,0,7200,6
SPRINT_7,WORKOUT,0,0,28,0,0,0,10900,7
SPRINT_8,WORKOUT,0,0,31,0,0,0,15000,8
SPRINT_9,WORKOUT,0,0,34,0,0,0,21700,9
SPRINT_10,WORKOUT,0,0,36,0,0,0,27500,10
SPRINT_11,WORKOUT,0,0,40,0,0,0,35900,11
PLYOMETRICS_1,WORKOUT,0,0,1,0,0,3,0,1
PLYOMETRICS_2,WORKOUT,0,0,3,0,0,3,2500,2
PLYOMETRICS_3,WORKOUT,0,0,4,0,0,4,4600,3
PLYOMETRICS_4,WORKOUT,0,0,8,0,0,4,7200,4
PLYOMETRICS_5,WORKOUT,0,0,12,0,0,4,10900,5
PLYOMETRICS_6,WORKOUT,0,0,16,0,0,4,15000,6
PLYOMETRICS_7,WORKOUT,0,0,21,0,0,4,21700,7
PLYOMETRICS_8,WORKOUT,0,0,24,0,0,5,27500,8
